model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean
own,BSD_ASPTE_1_130_0,100,1.0,1.0,0.3658786272555762,6.909212544443314,-1.2060348999999997,1.0,0.14,0.86,0.041237113402061855,0.56,0.94,2487.378221296503,0.06458894848325893,100,1.0,0.8803196342423937,0.95,,,,,0.0,0.0,,,,
own,LAT_MYCTU_1_449_0,100,1.0,1.0,0.49835608385736757,6.507213203633085,0.2252325999999999,1.0,0.88,0.99,0.62,0.0,1.0,278.2003834370199,0.09253405947736795,100,0.54,0.6550178109102177,0.3,,-6.276,-6.186,,0.0,0.0,-6.144,-6.368833333333332,-6.486,-6.596635416666668
own,GUX1_HYPJE_18_451_0,100,1.0,1.0,0.6819430014256044,7.3821278374545125,1.0450449000000004,1.0,0.96,0.98,0.52,0.0,1.0,390.5665652759358,0.046472644577665874,100,0.84,0.6621358152040354,0.47,,,,,0.0,0.0,,,,
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.5360106917839476,6.763358392979988,-0.2644544000000002,0.95,0.06,0.98,0.5876288659793815,0.0,1.0,562.9029327569242,0.11049021424803561,100,0.71,0.643433334727125,0.57,,-7.182,-7.475,,0.0,0.0,-6.208,-6.58250505050505,-6.732,-6.938323232323233
own,IMA1_HUMAN_68_497_0,100,1.0,1.0,0.400714371256078,6.579388841722858,-0.9089223000000001,1.0,0.45,0.89,0.08,0.0,1.0,1082.3419958988234,0.021380099998449174,100,1.0,0.8766519956858918,0.9,,,,,0.0,0.0,,,,
own,CCPR_YEAST_69_361_0,100,1.0,1.0,0.5625332510855992,6.702615012419996,0.2926715999999998,0.99,0.33,0.97,0.47474747474747475,0.03,0.98,521.6432787914098,0.03445813394218862,100,0.78,0.7886447370708473,0.68,,-4.53,-4.526,,0.0,0.0,-6.8875,-6.758830000000001,-7.1165,-7.034020000000001
own,DPO4_SULSO_1_347_0,100,1.0,1.0,0.46386037049508133,6.82156685450802,-0.5442349000000002,1.0,0.27,0.96,0.04,0.0,1.0,1232.211997439905,0.07421021996660751,100,1.0,0.868398297118247,0.9,,-3.699,-3.625,,0.0,0.0,-2.2215,-2.26823,-3.053,-2.99523
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.4656474503676949,6.4915657527564425,-0.8472658999999999,1.0,1.0,1.0,0.0,0.03,0.98,556.8151413530069,0.03598389828183587,100,0.54,0.7558227101992814,0.47,,,,,0.0,0.0,,,,
own,UBE2T_HUMAN_1_156_0,100,1.0,1.0,0.6077387843026253,7.233759528179239,1.0207338,1.0,0.99,0.98,0.38,0.01,0.99,501.8921315238265,0.05732023932959441,100,0.91,0.873336870929748,0.71,,-4.231,-4.195,,0.0,0.0,-4.1165,-4.19834,-4.277,-4.34529
own,CHOD_BREST_46_552_0,100,1.0,1.0,0.6157740468451119,6.327370462061607,-0.5240936999999998,1.0,0.62,1.0,0.5306122448979592,0.0,1.0,518.5414379331745,0.046801345911316045,100,0.49,0.7212402646514526,0.24,,-9.593,-9.585,,0.0,0.0,-6.5825,-6.37096,-6.6075,-6.488640000000001
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.5257839967364061,6.244648198153055,0.43008099999999994,1.0,0.02,0.92,0.45,0.0,1.0,651.4282646863221,0.09150520892572951,100,0.68,0.6520261850263592,0.49,,,,,0.0,0.0,,,,
own,F16P1_HUMAN_1_338_0,100,1.0,1.0,0.44138819426873793,7.024626571408615,0.2619344,1.0,0.87,0.99,0.0,0.04,0.99,2256.7515227525696,0.054019919873096435,100,1.0,0.9092672781923354,0.898989898989899,,-7.793,-7.678,,0.0,0.0,-5.884,-5.84423,-6.1785,-6.133539999999998
own,PAC_ECOLX_27_846_0,100,1.0,1.0,0.5108071594493692,6.815710272900307,-0.33122340000000017,1.0,0.95,1.0,0.19387755102040816,0.0,1.0,864.9599517418712,0.06738966294508192,100,0.99,0.876743424585048,0.79,,-6.871,-6.932,,0.0,0.0,-5.326499999999999,-5.53014,-5.4635,-5.611070000000001
own,PA2B8_DABRR_1_121_0,100,1.0,1.0,0.46387369084654007,6.818805347913554,-0.21051030000000004,0.99,0.36,0.94,0.12,0.0,1.0,1418.7379494877064,0.041597248084195335,100,0.99,0.8839129225336234,0.89,,-3.9,-3.872,,0.0,0.0,-2.3440000000000003,-2.40297,-2.838,-2.89575
own,UPPS_ECOLI_1_253_0,100,1.0,1.0,0.6180812893142918,6.916263037275643,0.9058093000000003,1.0,0.93,0.98,0.51,0.0,1.0,333.983451858264,0.03020794827487383,100,0.8,0.8591079181379265,0.76,,-7.711,-7.736,,0.0,0.0,-6.9505,-6.789249999999999,-7.164,-6.90423
own,NAGZ_VIBCH_1_330_0,100,1.0,1.0,0.5252525893182214,6.640458134477769,-0.8136311999999998,1.0,0.12,0.9,0.73,0.0,1.0,514.7655781441231,0.10829680682265051,100,0.57,0.522198740967261,0.49,,-5.324,-5.274,,0.0,0.0,-3.9379999999999997,-3.94208,-4.493,-4.51049
own,NOS3_HUMAN_65_480_0__4kcq_A_rec,100,1.0,1.0,0.47385031716266257,7.043341915005962,0.6096761000000004,1.0,0.59,1.0,0.1414141414141414,0.0,1.0,990.6803200027493,0.029188712216475513,100,1.0,0.8964516752694917,0.91,,-5.3,-5.43,,0.0,0.0,-4.7585,-4.83972,-4.9075,-5.02329
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.4953951071443109,6.887301120577877,-1.1469463999999998,1.0,0.69,1.0,0.16,0.06,0.99,835.012314855555,0.04982176789130121,100,0.94,0.8625230092255792,0.74,,-3.697,-3.697,,0.0,0.0,-4.9435,-4.953130000000001,-4.9405,-5.064080000000001
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.5066648781421559,6.22370813953735,0.703306,1.0,0.94,0.98,0.31,0.0,1.0,464.4156211988048,0.06476732352715722,100,0.43,0.5749286005831873,0.3,,-4.563,-4.542,,0.0,0.0,-4.3755,-4.51255,-4.692,-4.75838
own,KS6A3_HUMAN_41_357_0,100,1.0,1.0,0.46437922874322224,7.135038880631291,0.4550098999999998,1.0,0.0,0.95,0.22,0.0,1.0,836.1524587683537,0.12341582865467401,100,0.57,0.37868242630502835,0.17,,-8.532,-8.596,,0.0,0.0,-9.0745,-9.01504,-9.055,-9.083400000000001
own,IPMK_HUMAN_49_416_0,100,1.0,1.0,0.478653142565504,6.981996751851269,0.12050839999999984,0.99,0.0,0.97,0.22,0.0,1.0,769.8922957047196,0.11150899433735298,100,0.8,0.5949711915638571,0.5,,,,,0.0,0.0,,,,
