model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.5303583131896538,6.220826078969587,0.2982741999999999,1.0,0.05,0.92,0.09,0.12,0.97,1069.8485674296926,0.08845328513562635,100,0.76,0.6728785923538525,0.49,,,,,0.0,0.0,,
own,F16P1_HUMAN_1_338_0,100,1.0,1.0,0.4594432530917599,7.058263911794233,-0.023112200000000048,1.0,0.91,0.99,0.030612244897959183,0.34,0.81,3002.3892404033,0.05408670430228451,100,1.0,0.9063359135047019,0.898989898989899,,-7.793,,,0.0,0.0,-4.553,-4.20387
own,PAC_ECOLX_27_846_0,100,1.0,1.0,0.5190797287035478,6.818611551638113,-0.3089053000000001,1.0,0.99,0.99,0.07368421052631578,0.55,0.91,1119.7560473866447,0.07075864914151887,100,0.98,0.8657901748010267,0.74,,-6.871,,,0.0,0.0,-5.0895,-3.9789700000000012
own,PA2B8_DABRR_1_121_0,100,1.0,1.0,0.49690445611095674,6.807319943911282,-0.14684580000000003,1.0,0.49,0.97,0.07368421052631578,0.06,0.97,1593.289172064177,0.041903287709290735,100,0.99,0.8890162136566406,0.84,,-3.9,,,0.0,0.0,-2.3360000000000003,-2.3125300000000006
own,UPPS_ECOLI_1_253_0,100,1.0,1.0,0.6236545212224484,6.9723514239036755,0.7707446000000003,1.0,0.94,0.98,0.3333333333333333,0.0,1.0,508.6717168844562,0.03446144198719849,100,0.88,0.8738507573571677,0.77,,-7.711,,,0.0,0.0,-6.2155000000000005,-6.255109999999998
own,NAGZ_VIBCH_1_330_0,100,1.0,1.0,0.5252525893182214,6.640458134477769,-0.8136311999999998,1.0,0.12,0.9,0.33,0.16,0.89,711.5855065780962,0.10829680682265051,100,0.57,0.522198740967261,0.49,,-5.324,,,0.0,0.0,-3.887,-3.6268200000000004
own,NOS3_HUMAN_65_480_0__4kcq_A_rec,100,1.0,1.0,0.47385031716266257,7.043341915005962,0.6096761000000004,1.0,0.59,1.0,0.08080808080808081,0.52,0.91,1318.3101112327224,0.029188712216475513,100,1.0,0.8964516752694917,0.91,,-5.3,,,0.0,0.0,-4.378500000000001,-3.5416000000000003
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.49734235041377944,6.803930649577052,-1.1325036999999996,1.0,0.8,1.0,0.14736842105263157,0.07,0.97,971.3391303759634,0.05248480051098384,100,0.97,0.8672544546484323,0.71,,-3.697,,,0.0,0.0,-4.374,-4.21638
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.5237692679173191,6.25973150184357,0.5343001,1.0,0.94,0.99,0.12371134020618557,0.91,0.63,728.945967339043,0.06358666672307717,100,0.57,0.6586335043053759,0.38,,-4.563,,,0.0,0.0,-3.74,-2.39562
own,KS6A3_HUMAN_41_357_0,100,1.0,1.0,0.46437922874322224,7.135038880631291,0.4550098999999998,1.0,0.0,0.95,0.06060606060606061,0.0,1.0,1336.4833784176399,0.12341582865467401,100,0.58,0.37868242630502835,0.17,,-8.532,,,0.0,0.0,-9.1035,-9.12317
own,IPMK_HUMAN_49_416_0,100,1.0,1.0,0.478653142565504,6.981996751851269,0.12050839999999984,0.99,0.0,0.97,0.10101010101010101,0.0,1.0,1074.5396208261493,0.11150899433735298,100,0.82,0.5949711915638571,0.5,,,,,0.0,0.0,,
own,TRAR_RHIRD_1_234_0,100,1.0,1.0,0.5262036884403484,7.189069661639277,0.3599159,1.0,0.97,1.0,0.01020408163265306,0.27,0.89,2085.1811012112994,0.06021859417018304,100,1.0,0.898666891784824,0.93,,-7.622,,,0.0,0.0,-8.6415,-8.344430000000001
own,ABL2_HUMAN_274_551_0,100,1.0,1.0,0.5586036214338354,7.262975915855101,1.5132736,1.0,0.98,1.0,0.42,0.0,1.0,670.3397870000451,0.08982609038967829,100,0.23,0.28694708548771486,0.12,,-8.209,,,0.0,0.0,-8.2605,-8.28729
own,NOS2_HUMAN_78_505_0,100,1.0,1.0,0.5318343586480234,6.443809896406578,0.1080623999999999,1.0,1.0,0.98,0.12244897959183673,0.03,0.98,599.6417549670564,0.023017339320164074,100,0.77,0.8483716135932939,0.69,,-2.539,,,0.0,0.0,-3.874,-3.7005499999999993
own,COAA_MYCTU_1_312_0,100,1.0,1.0,0.49868943677099603,6.866039622250359,0.22114170000000002,0.98,0.0,0.99,0.17525773195876287,0.0,1.0,1053.434113800061,0.09989447388113963,100,0.71,0.5174217637871753,0.35,,-7.296,,,0.0,0.0,-6.047499999999999,-5.807250000000002
own,TBK1_HUMAN_1_303_0,100,1.0,1.0,0.5584515334900552,7.115289177812308,0.09714369999999993,1.0,0.86,0.99,0.15306122448979592,0.05,0.97,1424.8768609295294,0.06252951848981829,100,0.76,0.8354587755295225,0.68,,-7.946,,,0.0,0.0,-6.688,-5.981639999999999
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.2516880343441475,6.962221425323429,-0.4216893000000001,0.97,0.07,0.79,0.02040816326530612,0.29,0.81,2590.5703040913713,0.05531375306030037,100,1.0,0.85392221003463,0.95,,-10.768,,,0.0,0.0,-7.0760000000000005,-6.75632
own,PLCD1_RAT_134_756_0,100,1.0,1.0,0.6159522600366168,5.360017214143295,0.4497869000000001,1.0,0.0,0.71,0.42,0.0,1.0,703.5322741904749,0.1220444551872863,100,0.2,0.3322266513627118,0.15,,-5.501,,,0.0,0.0,-4.069,-4.0784199999999995
own,BGAT_HUMAN_63_353_0,100,1.0,1.0,0.393770817726038,6.434792855738803,-1.3881191000000002,1.0,0.13,0.82,0.02040816326530612,0.0,1.0,1685.0663448526711,0.0754676839330554,100,1.0,0.821629137650401,0.84,,,,,0.0,0.0,,
own,NQO1_HUMAN_2_274_0__1gg5_A_rec,100,1.0,1.0,0.5403738054993501,7.2028564802575135,0.37973910000000005,1.0,0.88,0.95,0.0,0.04,0.96,1818.7487655265295,0.0663020570679683,100,0.99,0.8871066532833297,0.9696969696969697,,-5.798,,,0.0,0.0,-5.583,-5.38
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.38127153426615573,7.244979274804743,0.46570090000000003,1.0,0.0,0.96,0.04040404040404041,0.0,1.0,1353.040286753114,0.10991371382390992,100,0.93,0.6258126886438835,0.52,,,,,0.0,0.0,,
own,GLMU_STRPN_2_459_0,100,1.0,1.0,0.49833814607060134,6.836146683866341,-0.0520528,1.0,0.93,0.95,0.07216494845360824,1.79,0.78,1562.572179038441,0.04985125323884659,100,1.0,0.9017956044364195,0.797979797979798,,-7.314,,,0.0,0.0,-2.798,0.8589500000000001
